y_value	y_true_value	y_label
-12.022310	-12.156343	1
-12.135358	-12.177759	1
-11.599286	-12.144939	1
-11.912695	-11.793221	0
-12.300802	-12.202881	0
-12.002356	-12.150784	0
-11.815662	-11.994938	0
-11.829316	-11.696308	0
-11.683535	-11.696308	0
-12.553801	-11.541804	0
-11.567245	-11.903471	1
-11.361210	-11.840468	0
-11.690331	-12.024426	0
-12.403845	-12.047569	0
-11.999938	-12.469120	0
-11.972010	-12.518483	0
-12.614355	-11.541804	0
-11.559758	-12.222733	0
-12.109531	-11.855347	0
-12.439870	-11.983111	0
-12.135227	-12.078713	0
-12.068460	-12.354641	0
-11.998820	-12.172951	0
-11.842805	-11.969028	0
-12.513507	-12.382341	0
-12.856443	-12.055812	0
-11.447389	-12.182398	0
-12.249737	-12.216633	0
-11.600532	-11.201396	0
-12.400365	-12.214406	0
-11.277281	-11.847059	0
-11.285214	-11.575202	0
-11.774254	-11.398718	0
-11.564074	-12.248334	0
-12.022661	-12.242887	0
-12.128602	-12.130383	1
-11.704277	-11.996652	0
-11.797448	-11.846551	0
-11.408544	-11.550313	0
-11.816596	-11.754788	0
-11.491408	-11.468793	1
-11.140583	-11.468793	1
-11.516341	-11.407963	0
-11.442197	-11.474516	0
-12.023423	-11.644829	0
-12.056681	-11.702677	0
-11.620403	-11.822169	0
-11.861354	-11.808621	0
-12.343443	-11.641867	0
-12.041948	-11.805943	0
-12.614012	-12.145311	0
-11.488550	-11.701259	0
-11.528971	-11.375407	0
-11.608562	-12.163220	0
-12.014237	-11.442555	0
-11.763174	-11.683640	0
-11.678579	-11.738379	1
-11.458674	-11.596697	1
-11.554331	-11.651254	1
-12.396044	-12.300100	1
-12.470181	-11.244110	1
-11.379840	-11.716410	0
-11.054097	-11.866682	1
-11.263115	-11.980700	0
-11.482637	-11.993011	1
-11.631721	-11.059642	0
-11.398965	-10.914263	0
-11.671937	-12.156610	1
-11.574754	-12.005455	0
-11.544909	-11.278663	0
-12.132204	-11.609584	0
-12.107369	-11.830054	0
-11.889879	-11.497619	0
-11.667281	-10.829794	1
-11.638786	-11.598837	0
-11.346265	-10.405390	0
-11.848112	-11.529748	0
-11.787527	-11.801049	1
-12.077803	-11.775261	0
-11.580981	-11.529748	0
-11.902212	-11.458873	0
-11.391776	-11.529748	0
-11.271011	-11.117518	0
-10.854086	-9.998535	0
-11.239502	-10.807590	0
-11.734361	-11.430399	0
-11.298008	-11.409163	0
-12.095713	-11.709322	0
-11.427885	-12.023964	0
-11.768172	-11.288559	0
-11.451214	-12.170666	0
-12.482657	-12.273061	0
-11.906876	-12.023964	1
-11.610317	-12.170666	1
-12.259441	-11.575155	0
-11.800494	-11.859749	0
-11.385079	-11.728458	0
-12.045642	-12.051337	0
-11.567439	-11.645360	0
-11.258587	-11.708302	0
-11.536610	-11.571071	0
-12.487089	-12.760570	0
-12.855659	-12.230825	0
-11.087746	-11.910467	0
-11.806757	-11.803630	0
-12.092417	-11.431740	0
-12.524035	-12.594612	0
-11.789564	-11.371880	0
-12.163069	-11.603814	0
-11.800963	-10.931729	0
-12.296180	-12.289648	1
-11.797623	-12.106874	1
-11.658227	-11.423637	0
-12.712998	-12.752552	0
-10.441205	-11.362717	0
-11.798798	-12.009357	0
-10.870238	-13.291108	0
-11.697401	-12.054665	1
-12.329307	-12.732927	0
-12.124071	-13.035040	0
-11.762531	-11.288731	1
-11.993898	-12.395845	1
-10.353506	-10.963951	1
-11.706379	-11.532642	0
-12.366588	-12.394867	0
-11.424583	-11.857620	0
-12.937156	-12.083339	0
-11.897364	-11.574883	0
-11.848983	-11.960541	0
-11.398025	-11.232922	0
-11.778526	-12.018869	0
-11.962820	-12.029329	0
-12.754650	-12.387160	1
-10.851862	-11.634167	0
-11.763798	-11.845943	0
-11.029367	-11.919430	0
-11.407404	-11.999425	0
-12.713958	-11.608610	0
-11.356098	-11.510834	0
-11.967203	-11.893909	0
-11.171498	-12.083934	0
-11.458612	-11.532642	0
-12.239126	-11.634339	0
-12.305292	-12.523774	0
-12.936668	-12.539354	0
-12.477763	-12.210863	0
-11.810196	-11.793442	0
-12.930393	-12.775491	0
-11.600459	-12.611207	0
-11.543730	-12.079152	0
-11.905072	-11.925156	0
-11.961507	-12.343063	0
-12.059739	-13.399288	0
-11.368265	-11.624235	0
-11.300174	-11.402940	0
-11.341687	-11.980022	0
-10.750536	-11.091425	0
-11.445518	-12.480330	0
-11.051722	-13.156139	0
-11.606813	-11.389624	0
-11.446729	-11.389624	0
-11.598965	-11.668791	0
-10.479983	-11.389624	0
-11.982362	-10.977878	0
-11.145081	-11.993703	0
-12.214725	-11.779802	0
-11.918612	-12.461547	0
-10.977651	-11.318280	0
-11.604789	-11.389624	0
-12.714703	-12.096051	0
-11.592013	-11.794305	0
-11.280462	-12.088269	0
-11.316993	-12.083926	0
-12.183228	-11.584380	0
-11.835481	-11.629410	0
-11.275765	-12.095288	0
-11.434937	-11.314939	0
-11.813820	-11.715379	0
-11.806294	-12.048889	0
-11.987859	-11.828935	0
-11.335684	-11.526507	1
-11.506403	-12.117586	1
-11.535160	-12.419743	0
-12.165701	-11.866350	0
-11.777478	-10.400597	0
-10.467876	-9.598114	1
-11.911642	-11.901627	0
-12.122841	-12.835392	0
-11.952647	-12.498122	0
-11.865032	-11.176985	0
-11.746839	-11.660696	0
-12.154243	-12.263289	0
-12.403697	-12.027035	0
-12.370133	-11.855484	0
-11.845272	-12.498122	0
-11.492266	-11.788976	0
-11.891641	-11.706748	0
-11.529127	-11.160769	0
-12.147192	-12.501135	0
-11.387886	-11.375140	0
-11.514146	-12.500420	0
-12.001242	-12.215253	0
-11.361249	-11.333874	0
-11.758823	-10.963671	0
-12.192728	-11.660664	0
-11.031958	-12.441382	0
-11.593575	-12.500420	0
-11.466595	-11.793705	0
-12.289635	-12.553332	1
-11.866733	-11.876886	0
-11.417103	-11.842104	0
-12.683674	-10.740898	0
-13.177635	-10.740898	0
-11.371611	-11.554348	0
-11.382061	-11.894984	0
-11.147333	-12.287843	0
-10.895352	-12.310856	0
-12.208635	-12.172157	0
-11.382978	-12.310856	0
-12.182441	-13.498789	0
-11.644935	-12.310856	0
-13.437001	-12.554464	0
-12.493403	-11.739395	0
-12.217425	-11.741842	0
-12.093349	-11.204473	0
-12.525354	-11.361334	0
-11.958110	-11.951191	0
-12.963100	-12.926481	0
-12.303041	-12.453547	0
